name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Russia, Krasnodar",2016-01-01,-8.7,-15,-11.2,-8.7,-20.9,-16.1,-13.7,82.3,0.1,100,4.17,snow,0,0,,19.8,36.6,1024.4,74.9,6.6,61.6,5.5,3,,2016-01-01T08:02:33,2016-01-01T16:52:19,0.72,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-02,-10.7,-19.5,-16,-10.7,-26.1,-19.5,-18.4,81.7,0,0,0,,8.6,5.2,,9,45.9,1025.3,35.9,7.9,71.4,6.1,3,,2016-01-02T08:02:36,2016-01-02T16:53:13,0.75,Partially cloudy,Partly cloudy throughout the day.,snow,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-03,-10.3,-18,-14.5,-10.7,-23.4,-17.6,-17,81.4,0,0,0,,0.4,8.7,,10.8,280.8,1024,55.9,8,46.1,4,3,,2016-01-03T08:02:36,2016-01-03T16:54:09,0.79,Partially cloudy,Partly cloudy throughout the day.,snow,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-04,-9,-24,-15.8,-14.3,-30.9,-21.3,-18.7,78.7,2.6,100,50,snow,5,9.7,,25.2,67.7,1018,78.9,8.7,21.3,1.9,1,,2016-01-04T08:02:34,2016-01-04T16:55:07,0.82,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-05,1,-8.8,-3.3,-2.3,-13,-6.3,-5,88,19.8,100,100,"rain,snow",3,15.1,,21.6,88.8,1007.1,97,4.5,10.6,0.8,1,,2016-01-05T08:02:29,2016-01-05T16:56:07,0.85,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-06,4.4,-1,0.5,3.4,-6.2,-2.8,-0.4,94,4.3,100,45.83,"rain,snow",0,13.9,,18,39.7,1012.1,89.1,4.4,38.1,3.1,2,,2016-01-06T08:02:22,2016-01-06T16:57:09,0.88,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-07,4,0,2.2,2.5,-4.6,-1.6,0.5,89.2,3.1,100,62.5,"rain,snow",0,12,39.6,30.6,84.7,1005.2,83.6,8.3,28.2,2.3,1,,2016-01-07T08:02:12,2016-01-07T16:58:12,0.91,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-08,4.5,1.5,3,4.5,-1.5,0.5,1.7,91.5,11,100,79.17,"rain,snow",0,6.9,,18,95.7,999.4,94.7,6.2,17,1.4,1,,2016-01-08T08:01:59,2016-01-08T16:59:17,0.95,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-09,5.7,1,2.9,2.9,-3.8,-1.2,0.2,82.3,7,100,95.83,"rain,snow",0,0.8,39.6,27,257.8,1011.2,69.3,9,53.8,4.7,3,,2016-01-09T08:01:44,2016-01-09T17:00:24,0.98,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-10,10,3,6.1,10,-1.2,4.1,1.9,74.5,0.9,100,33.33,rain,0,0,39.6,32.4,231.8,1015.9,86.4,10,45.6,3.8,2,,2016-01-10T08:01:27,2016-01-10T17:01:32,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-11,9.2,4,7,8,0.9,4.8,3.6,79.6,8.4,100,70.83,rain,0,0,32.4,25.2,150.7,1012.5,89.8,9.2,14.2,1.3,1,,2016-01-11T08:01:06,2016-01-11T17:02:42,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-12,15.1,7.5,11.4,15.1,4.7,10.4,5.7,69.5,3.1,100,62.5,rain,0,0,,28.8,191.5,1008.9,87.7,10,30.2,2.5,2,,2016-01-12T08:00:43,2016-01-12T17:03:53,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-13,15.7,7,10.2,15.7,4.9,9.5,6.5,80.4,25.1,100,79.17,rain,0,0,36,34.2,221.3,1006,94.8,9.2,24.1,2.1,1,,2016-01-13T08:00:18,2016-01-13T17:05:05,0.12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-14,11.5,3.5,6.5,11.5,1.6,5.3,4.7,88.5,9.2,100,75,rain,0,0,,19.8,241.5,1011.8,83.3,9.4,64.2,5.7,4,,2016-01-14T07:59:50,2016-01-14T17:06:18,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-15,7.6,2,4,6.4,-1.1,1.8,2,87.2,1.3,100,37.5,rain,0,0,,19.8,280.5,1020.8,70.3,8.8,70.2,6.2,4,,2016-01-15T07:59:20,2016-01-15T17:07:33,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-16,8.1,0,4.1,5.8,-3.9,1,0.5,78.9,0,0,0,,0,0,,27,89.5,1017.3,80.8,8.5,82.6,7.1,4,,2016-01-16T07:58:47,2016-01-16T17:08:49,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-17,10.5,2,5.4,10.5,-0.7,3.5,1.8,78.4,0,0,0,,0,0,,14.4,71.4,1008.1,91.9,10,31.6,2.8,2,,2016-01-17T07:58:12,2016-01-17T17:10:06,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-18,10.6,2,5.8,10.6,-1.5,3.9,2.3,78.8,1.7,100,29.17,rain,0,0,,18,72.2,999.6,82.3,9.8,64.9,5.6,3,,2016-01-18T07:57:34,2016-01-18T17:11:24,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-19,10.4,-1.6,2.4,10.4,-7.8,-1.7,0.3,86.8,11.4,100,100,"rain,snow",0,0,50.4,30.6,281.4,1005.1,92.4,7.7,23.1,2,1,,2016-01-19T07:56:54,2016-01-19T17:12:43,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-20,1,-3,-1.2,-1.9,-9.3,-5.4,-5.7,71.6,2.5,100,66.67,"rain,snow",0,0,39.6,32.4,256.8,1023.5,65.1,10,48.1,4.2,2,,2016-01-20T07:56:12,2016-01-20T17:14:03,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-21,3,-1.3,0.9,0.7,-5.5,-2.7,-2.7,77.1,8,100,100,"rain,snow",0,0,,27,98.2,1023.2,90.6,9,25.2,2.2,1,,2016-01-21T07:55:27,2016-01-21T17:15:23,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"34929099999,34927099999,URKK"
